,Labels,Data
0,identifier_product_doi,10.5067/SeaBASS/NOAA/DATA001
1,investigators,William_Balch
2,affiliations,Bigelow_Laboratory_for_Ocean_Sciences
3,contact,bbalch@bigelow.org
4,experiment,NOAA
5,cruise,AL9807
6,station,NA
7,data_file_name,chl-AL9807.sb
8,documents,readme.txt
9,calibration_files,missing_calibration.txt
10,data_type,pigment
11,data_status,final
12,start_date,19980604
13,end_date,19980611
14,start_time,00:05:00[GMT]
15,end_time,23:00:00[GMT]
16,north_latitude,44.3813[DEG]
17,south_latitude,40.4017[DEG]
18,east_longitude,-65.9155[DEG]
19,west_longitude,-70.3617[DEG]
20,cloud_percent,NA
21,measurement_depth,0
22,secchi_depth,NA
23,water_depth,NA
24,wave_height,NA
25,wind_speed,NA
26,missing,-99
27,delimiter,space
28,fields,"Year,Month,Day,Hour,Minute,Lat,Lon,CHL"
29,units,"yyyy,mo,dd,hh,mn,degrees,degrees,mg/m^3"
